Gene,Expressed,AC_LRG,AN_LRG,AF_LRG,AC_HRG,AN_HRG,AF_HRG,pVal,FDR
ALDH16A1,YES,382,680,2.2470588235,377,732,2.0626846272,0.3446160607,1
IMP4,YES,18,170,0.1058823529,27,186,0.1451612903,0.3458712863,1
DMRTA1,YES,18,170,0.1058823529,28,186,0.1505376344,0.346262361,1
MED31;TXNDC17,YES,17,340,0.1,26,372,0.1397849462,0.3462901356,1
NDUFA11,YES,481,1870,2.8294117647,563,2046,3.0268817204,0.3463703218,1
COL18A1,YES,88,340,0.5176470588,81,372,0.435483871,0.3464753021,1
EIF4ENIF1,YES,3,340,0.0176470588,7,372,0.0376344086,0.3464924595,1
TNS3,YES,3,340,0.0176470588,7,372,0.0376344086,0.3464924595,1
CD99L2,NO,52,680,0.3058823529,46,744,0.247311828,0.3471166898,-
PLB1,YES,125,510,0.7352941176,156,558,0.8387096774,0.347352436,1
VWA5A,YES,98,170,0.5764705882,127,186,0.6827956989,0.3477414564,1
MAGEA6,YES,3,850,0.0176470588,7,930,0.0376344086,0.3478020951,1
GUCD1,YES,290,680,1.7058823529,288,744,1.5483870968,0.3485066398,1
PRR30,NO,88,170,0.5176470588,80,186,0.4301075269,0.3496148601,-
COL4A2,YES,310,510,1.8235294118,373,558,2.0053763441,0.3509964909,1
PGR,NO,39,170,0.2294117647,54,186,0.2903225806,0.3510735745,-
GFI1B,NO,102,170,0.6,132,186,0.7096774194,0.3532413434,-
AGRN,NO,233,680,1.3705882353,282,744,1.5161290323,0.3538647472,-
NDRG1,YES,3,680,0.0176470588,1,744,0.0053763441,0.3541762201,1
KRTAP2-1,NA,3,510,0.0176470588,1,558,0.0053763441,0.3542067484,1
ZBTB7A,YES,3,510,0.0176470588,1,558,0.0053763441,0.3542067484,1
ZNF638,YES,3,510,0.0176470588,1,558,0.0053763441,0.3542067484,1
MLANA,NO,3,510,0.0176470588,1,558,0.0053763441,0.3542067484,-
AIMP2;EIF2AK1,YES,3,340,0.0176470588,1,372,0.0053763441,0.3542694371,1
AKAP7,YES,3,340,0.0176470588,1,372,0.0053763441,0.3542694371,1
GFOD1,YES,3,340,0.0176470588,1,372,0.0053763441,0.3542694371,1
OCRL,YES,3,340,0.0176470588,1,372,0.0053763441,0.3542694371,1
RPH3AL,YES,3,340,0.0176470588,1,372,0.0053763441,0.3542694371,1
SLC19A3,YES,3,340,0.0176470588,1,372,0.0053763441,0.3542694371,1
ZFP62,YES,3,340,0.0176470588,1,372,0.0053763441,0.3542694371,1
ZNF223,YES,3,340,0.0176470588,1,372,0.0053763441,0.3542694371,1
GRM2,NO,3,340,0.0176470588,1,372,0.0053763441,0.3542694371,-
LRCH2,NO,3,340,0.0176470588,1,372,0.0053763441,0.3542694371,-
RHOJ,NO,3,340,0.0176470588,1,372,0.0053763441,0.3542694371,-
TPSAB1,NO,28,170,0.1647058824,40,186,0.2150537634,0.3543995621,-
DCUN1D5,YES,3,170,0.0176470588,1,186,0.0053763441,0.3544703729,1
HMOX1,YES,3,170,0.0176470588,1,186,0.0053763441,0.3544703729,1
HNRNPA0,YES,3,170,0.0176470588,1,186,0.0053763441,0.3544703729,1
LIMCH1,YES,3,170,0.0176470588,1,186,0.0053763441,0.3544703729,1
MZT2B,YES,3,170,0.0176470588,1,186,0.0053763441,0.3544703729,1
PRCP,YES,3,170,0.0176470588,1,186,0.0053763441,0.3544703729,1
PSAP,YES,3,170,0.0176470588,1,186,0.0053763441,0.3544703729,1
RASA1,YES,3,170,0.0176470588,1,186,0.0053763441,0.3544703729,1
RPUSD3,YES,3,170,0.0176470588,1,186,0.0053763441,0.3544703729,1
SLC43A3,YES,3,170,0.0176470588,1,186,0.0053763441,0.3544703729,1
SMCO1,YES,3,170,0.0176470588,1,186,0.0053763441,0.3544703729,1
SVBP,YES,3,170,0.0176470588,1,186,0.0053763441,0.3544703729,1
VPS26B,YES,3,170,0.0176470588,1,186,0.0053763441,0.3544703729,1
ZNF788,YES,3,170,0.0176470588,1,186,0.0053763441,0.3544703729,1
AGAP5,NO,3,170,0.0176470588,1,186,0.0053763441,0.3544703729,-
ANOS1,NO,3,170,0.0176470588,1,186,0.0053763441,0.3544703729,-
FAM228B,NO,3,170,0.0176470588,1,186,0.0053763441,0.3544703729,-
FREM1,NO,3,170,0.0176470588,1,186,0.0053763441,0.3544703729,-
SLC16A12,NO,3,170,0.0176470588,1,186,0.0053763441,0.3544703729,-
ZBTB3,YES,35,340,0.2058823529,48,372,0.2580645161,0.3544765787,1
HS3ST6,YES,26,170,0.1529411765,21,186,0.1129032258,0.3545380779,1
KIT,YES,12,170,0.0705882353,20,186,0.1075268817,0.3554049371,1
PHYH,YES,45,340,0.2647058824,39,372,0.2096774194,0.3560317272,1
LOXL1,YES,118,850,0.6941176471,146,930,0.7849462366,0.3561801459,1
LRRC39;TRMT13,YES,26,340,0.1529411765,37,372,0.1989247312,0.3580252026,1
PELI2,YES,7,170,0.0411764706,13,186,0.0698924731,0.3580977192,1
UMODL1,YES,7,170,0.0411764706,13,186,0.0698924731,0.3580977192,1
STK17A,YES,79,340,0.4647058824,102,372,0.5483870968,0.3590001029,1
MSLN,NO,43,510,0.2529411765,38,558,0.2043010753,0.3591163336,-
RETSAT,YES,12,170,0.0705882353,8,186,0.0430107527,0.3595991096,1
SCRT2,NO,12,170,0.0705882353,8,186,0.0430107527,0.3595991096,-
JAG2,YES,65,1190,0.3823529412,60,1302,0.3225806452,0.3605049329,1
ANXA6,YES,46,340,0.2705882353,40,372,0.2150537634,0.3610095422,1
MOCS1,YES,17,1020,0.1,13,1116,0.0698924731,0.3616663918,1
AKAP2;PALM2-AKAP2,NO,12,340,0.0705882353,19,372,0.1021505376,0.3620405447,-
LUZP2,NO,63,340,0.3705882353,82,372,0.4408602151,0.3622859825,-
DDX17,YES,237,510,1.3941176471,285,554,1.5485039738,0.3629053404,1
FAM71B,NO,27,170,0.1588235294,22,186,0.1182795699,0.3629149396,-
LMO7DN,NO,19,170,0.1117647059,14,186,0.0752688172,0.3629565923,-
EFR3B,YES,52,170,0.3058823529,46,186,0.247311828,0.3635429596,1
CDH26,NO,52,170,0.3058823529,46,186,0.247311828,0.3635429596,-
AGPAT4,YES,18,680,0.1058823529,27,744,0.1451612903,0.363611315,1
GP6,NO,129,340,0.7588235294,161,372,0.8655913978,0.3645222336,-
SLC39A8,YES,12,340,0.0705882353,8,372,0.0430107527,0.3650912815,1
SOX8,NO,37,340,0.2176470588,51,372,0.2741935484,0.3653114511,-
VCX3B,YES,7,666,0.0419535284,12,726,0.0661172161,0.3658502746,1
TBL1X,YES,7,170,0.0411764706,4,186,0.0215053763,0.3665541467,1
KLK7,YES,132,170,0.7764705882,124,186,0.6666666667,0.3680260643,1
MDM2,YES,7,510,0.0411764706,4,558,0.0215053763,0.3694382901,1
IFIT3,NO,98,170,0.5764705882,91,186,0.4892473118,0.3695597194,-
CD70,YES,13,170,0.0764705882,20,186,0.1075268817,0.3699536128,1
ZNF720,YES,134,170,0.7882352941,126,186,0.6774193548,0.3701116214,1
PSTPIP2,NO,38,340,0.2235294118,52,372,0.2795698925,0.3701913135,-
PTPRE,YES,103,850,0.6058823529,98,930,0.5268817204,0.371765872,1
POU2F1,YES,264,850,1.5529411765,264,930,1.4193548387,0.3723918571,1
AKT2,YES,137,340,0.8058823529,170,372,0.9139784946,0.3741965945,1
IVD,YES,191,680,1.1235294118,232,744,1.247311828,0.3748662665,1
ARHGAP30,YES,1,170,0.0058823529,4,186,0.0215053763,0.375009726,1
CNTN6,YES,1,170,0.0058823529,4,186,0.0215053763,0.375009726,1
NFE2L1,YES,1,170,0.0058823529,4,186,0.0215053763,0.375009726,1
NUDT21,YES,1,170,0.0058823529,4,186,0.0215053763,0.375009726,1
PCLAF,YES,1,170,0.0058823529,4,186,0.0215053763,0.375009726,1
PCP4L1,YES,1,170,0.0058823529,4,186,0.0215053763,0.375009726,1
SARS,YES,1,170,0.0058823529,4,186,0.0215053763,0.375009726,1
SLC9A3R1,YES,1,170,0.0058823529,4,186,0.0215053763,0.375009726,1
ZNF592,YES,1,170,0.0058823529,4,186,0.0215053763,0.375009726,1
C16orf89,NO,1,170,0.0058823529,4,186,0.0215053763,0.375009726,-
NEU3,NO,1,170,0.0058823529,4,186,0.0215053763,0.375009726,-
CD74,YES,19,170,0.1117647059,15,186,0.0806451613,0.3761207745,1
C1QTNF5;MFRP,NO,19,170,0.1117647059,15,186,0.0806451613,0.3761207745,-
FAXDC2,YES,1,340,0.0058823529,4,372,0.0215053763,0.3762422177,1
HK1,YES,1,340,0.0058823529,4,372,0.0215053763,0.3762422177,1
RAD9B,YES,1,340,0.0058823529,4,372,0.0215053763,0.3762422177,1
RAP1GDS1,YES,1,340,0.0058823529,4,372,0.0215053763,0.3762422177,1
RNF169,YES,1,340,0.0058823529,4,372,0.0215053763,0.3762422177,1
SNTB1,NO,1,340,0.0058823529,4,372,0.0215053763,0.3762422177,-
VEGFB,YES,1,510,0.0058823529,4,558,0.0215053763,0.3766635874,1
ZNF777,YES,1,680,0.0058823529,4,744,0.0215053763,0.3768762715,1
TRAPPC2L,YES,70,1190,0.4117647059,65,1302,0.3494623656,0.3769568265,1
C19orf54,YES,1,850,0.0058823529,4,930,0.0215053763,0.3770045248,1
FAAP20;PRKCZ,YES,1,850,0.0058823529,4,930,0.0215053763,0.3770045248,1
COPG1,YES,180,510,1.0588235294,219,558,1.1774193548,0.3783586662,1
SH3BGRL3,YES,37,340,0.2176470588,32,372,0.1720430108,0.3786174324,1
SPTA1,NO,414,510,2.4352941176,417,558,2.2419354839,0.3795350069,-
TRIM45,YES,13,170,0.0764705882,9,186,0.0483870968,0.3806518818,1
PPAT,YES,61,508,0.3588935574,56,558,0.3010752688,0.3810926661,1
PRICKLE1,YES,70,340,0.4117647059,90,372,0.4838709677,0.3814115715,1
TMEM107,YES,232,3230,1.3647058824,276,3534,1.4838709677,0.3816077686,1
ZNF85,YES,14,170,0.0823529412,22,186,0.1182795699,0.3816422128,1
FMNL3;PRPF40B,NO,14,170,0.0823529412,22,186,0.1182795699,0.3816422128,-
GPX3,YES,19,340,0.1117647059,15,372,0.0806451613,0.3835825596,1
SLC1A2,NO,28,340,0.1647058824,23,372,0.123655914,0.3844743343,-
VCX,YES,80,676,0.475265769,100,734,0.5480676329,0.3845108144,1
HOXB2,YES,30,170,0.1764705882,25,186,0.1344086022,0.3859728419,1
IFNA21,NO,30,170,0.1764705882,25,186,0.1344086022,0.3859728419,-
C3orf30,NO,48,170,0.2823529412,64,186,0.3440860215,0.386346852,-
AP5Z1,YES,13,340,0.0764705882,9,372,0.0483870968,0.38693061,1
ATP6V1G3,NO,13,340,0.0764705882,9,372,0.0483870968,0.38693061,-
IL18R1,NO,13,340,0.0764705882,9,372,0.0483870968,0.38693061,-
RGS9BP,NO,205,680,1.2058823529,247,744,1.3279569892,0.3871715433,-
CSTF3,YES,80,170,0.4705882353,74,186,0.3978494624,0.3874082008,1
SPOCK1,YES,155,412,1.1031728445,152,454,0.9447702835,0.3882556107,1
DLG1,YES,4,170,0.0235294118,8,186,0.0430107527,0.3884772765,1
KIAA0391,YES,4,170,0.0235294118,8,186,0.0430107527,0.3884772765,1
SQOR,YES,4,170,0.0235294118,8,186,0.0430107527,0.3884772765,1
ZBTB40,YES,4,170,0.0235294118,8,186,0.0430107527,0.3884772765,1
SERP2,NO,4,170,0.0235294118,8,186,0.0430107527,0.3884772765,-
GOLGA4,YES,63,510,0.3705882353,58,558,0.311827957,0.3885294788,1
HDDC2,YES,23,170,0.1352941176,33,186,0.1774193548,0.3891705441,1
FAM205A,NO,73,340,0.4294117647,93,372,0.5,0.3892564756,-
VAMP8,YES,69,170,0.4058823529,90,186,0.4838709677,0.3898710539,1
GLG1,YES,53,510,0.3117647059,69,558,0.3709677419,0.3898772904,1
SLIT2,NO,148,510,0.8705882353,144,558,0.7741935484,0.3906961718,-
PPFIA2,YES,31,340,0.1823529412,43,372,0.2311827957,0.3920540963,1
LAMB3,NO,50,510,0.2941176471,45,558,0.2419354839,0.392072199,-
OTUB2,NO,84,170,0.4941176471,77,186,0.4139784946,0.3927210733,-
MAPK13,YES,31,170,0.1823529412,26,186,0.1397849462,0.3930398625,1
PLK5,NO,35,170,0.2058823529,48,186,0.2580645161,0.3935162365,-
HIST1H4A,YES,15,170,0.0882352941,23,186,0.123655914,0.393721177,1
TGFB1I1,NO,71,170,0.4176470588,92,186,0.4946236559,0.3943859985,-
DOCK1,YES,180,680,1.0588235294,218,744,1.1720430108,0.3943987178,1
ZNF772,YES,100,170,0.5882352941,127,186,0.6827956989,0.3953868677,1
TRUB1,YES,176,340,1.0352941176,172,372,0.9247311828,0.3956634651,1
CASP8,YES,20,340,0.1176470588,16,372,0.0860215054,0.3956834592,1
TSPAN9,YES,76,340,0.4470588235,97,372,0.5215053763,0.3960913734,1
XK,NO,22,340,0.1294117647,31,372,0.1666666667,0.3961117019,-
TNFAIP2,YES,126,510,0.7411764706,122,558,0.6559139785,0.3979601255,1
SMARCE1,YES,21,170,0.1235294118,17,186,0.0913978495,0.3981672731,1
NUTM2D,NO,63,170,0.3705882353,57,186,0.3064516129,0.3989495576,-
MPZL3,YES,90,340,0.5294117647,85,372,0.4569892473,0.399374283,1
EPCAM,YES,14,168,0.0833333333,10,184,0.0543478261,0.3994671558,1
DIAPH2,YES,14,170,0.0823529412,10,186,0.0537634409,0.3996794042,1
ZBTB7C,YES,32,170,0.1882352941,27,186,0.1451612903,0.3998290313,1
GLIS1,NO,46,170,0.2705882353,40,186,0.2150537634,0.4002856776,-
SORBS3,YES,74,170,0.4352941176,96,186,0.5161290323,0.4004327792,1
ELAVL3,YES,60,340,0.3529411765,78,372,0.4193548387,0.4018309932,1
MME,NO,53,170,0.3117647059,70,186,0.376344086,0.4023311633,-
ARL3,YES,8,170,0.0470588235,5,186,0.0268817204,0.402614075,1
GPD1L,YES,8,170,0.0470588235,5,186,0.0268817204,0.402614075,1
DAPK2,NO,8,170,0.0470588235,5,186,0.0268817204,0.402614075,-
PLXND1,YES,64,1020,0.3764705882,59,1116,0.3172043011,0.4036831136,1
PRAMEF4,YES,23,340,0.1352941176,33,372,0.1774193548,0.4045374915,1
TMEM132C,YES,23,340,0.1352941176,33,372,0.1774193548,0.4045374915,1
KRT83,NO,65,170,0.3823529412,59,186,0.3172043011,0.4045460441,-
MAD1L1,YES,23,340,0.1352941176,32,372,0.1720430108,0.4049540994,1
GPAT4,YES,15,340,0.0882352941,22,372,0.1182795699,0.4050007679,1
PANX1,YES,15,340,0.0882352941,22,372,0.1182795699,0.4050007679,1
BTG4,YES,16,170,0.0941176471,24,186,0.1290322581,0.4051796736,1
MATN1,NO,16,170,0.0941176471,24,186,0.1290322581,0.4051796736,-
TBRG4,YES,54,170,0.3176470588,71,186,0.3817204301,0.4054298384,1
TNKS2,YES,8,340,0.0470588235,5,372,0.0268817204,0.4055250875,1
SPICE1,YES,91,170,0.5352941176,84,186,0.4516129032,0.4060040822,1
KLF3,YES,46,340,0.2705882353,61,372,0.3279569892,0.4062282037,1
SERTAD3,YES,46,340,0.2705882353,61,372,0.3279569892,0.4062282037,1
ANAPC2,YES,14,328,0.0853658537,10,360,0.0555555556,0.4063906671,1
CAMK2A,YES,14,340,0.0823529412,10,372,0.0537634409,0.4067107888,1
WDR81,NO,30,340,0.1764705882,26,372,0.1397849462,0.4088099612,-
AMER2,NO,9,510,0.0529411765,15,558,0.0806451613,0.4095167162,-
SLC35B4,YES,63,340,0.3705882353,81,372,0.435483871,0.4105188378,1
PLEKHA2,NO,185,838,1.1141743444,225,930,1.2096774194,0.4106549395,-
ERCC2;KLC3,YES,13,680,0.0764705882,10,744,0.0537634409,0.4107955688,1
LRRC25,NO,221,510,1.3,265,558,1.4247311828,0.4114164546,-
CNRIP1,YES,113,170,0.6647058824,142,186,0.7634408602,0.4117274225,1
LASP1,YES,223,510,1.3117647059,268,558,1.4408602151,0.4126739399,1
SYNJ2,YES,81,170,0.4764705882,104,186,0.5591397849,0.4137330062,1
IL36G,NO,134,170,0.7882352941,127,186,0.6827956989,0.415168037,-
LILRA5,NO,732,1008,4.3571428571,750,1092,4.1208791209,0.4155052993,-
COL23A1,YES,35,338,0.2066526611,47,372,0.252688172,0.4156119635,1
RAD54L2,YES,132,276,0.9565217391,144,264,1.0909090909,0.4157100705,1
IFNA4,NO,31,340,0.1823529412,27,372,0.1451612903,0.4157597347,-
FADS2,YES,17,170,0.1,25,186,0.1344086022,0.4160656437,1
TESC,YES,17,170,0.1,25,186,0.1344086022,0.4160656437,1
SGSM2,YES,16,340,0.0941176471,24,372,0.1290322581,0.4163457019,1
LAMC3,YES,44,340,0.2588235294,39,372,0.2096774194,0.4167939604,1
CAMKV,YES,15,170,0.0882352941,11,186,0.0591397849,0.4169760985,1
CNGB1,NO,15,170,0.0882352941,11,186,0.0591397849,0.4169760985,-
KIAA1211,YES,171,510,1.0058823529,168,558,0.9032258065,0.4175087306,1
ADHFE1,NO,100,340,0.5882352941,95,372,0.5107526882,0.4188343318,-
TIMM44,YES,10,170,0.0588235294,16,186,0.0860215054,0.4189171912,1
ACTR2,YES,209,510,1.2294117647,208,558,1.1182795699,0.4191185634,1
RSPO1,NO,98,170,0.5764705882,92,186,0.4946236559,0.419198747,-
ZNF827,YES,249,680,1.4647058824,296,744,1.5913978495,0.4198921596,1
TMEM70,YES,78,340,0.4588235294,73,372,0.3924731183,0.4200069828,1
PIGQ,YES,210,680,1.2352941176,251,744,1.3494623656,0.4211440843,1
FBXO16,YES,89,680,0.5235294118,85,744,0.4569892473,0.4219591378,1
GRAMD4,YES,60,170,0.3529411765,78,186,0.4193548387,0.422022308,1
GNB1L,YES,32,340,0.1882352941,28,372,0.1505376344,0.4224793314,1
FBXO9,YES,803,2688,7.034773768,903,3160,6.3117839581,0.4236626091,1
RASD2,NO,5,170,0.0294117647,9,186,0.0483870968,0.424810465,-
CIART,YES,72,170,0.4235294118,67,186,0.3602150538,0.425466198,1
SGCA,NO,10,340,0.0588235294,16,372,0.0860215054,0.4257383265,-
CD1B,NO,14,510,0.0823529412,11,558,0.0591397849,0.4267746255,-
ERCC8,YES,74,170,0.4352941176,68,186,0.3655913978,0.4271887668,1
THEMIS,YES,62,170,0.3647058824,81,186,0.435483871,0.4272599502,1
TBXA2R,NO,5,340,0.0294117647,9,372,0.0483870968,0.4275900124,-
S100A2,YES,10,510,0.0588235294,16,558,0.0860215054,0.4281747818,1
FAM53C,YES,52,340,0.3058823529,67,372,0.3602150538,0.4288659267,1
GPHN,YES,5,680,0.0294117647,9,744,0.0483870968,0.4290591465,1
SFTPA1,NO,82,340,0.4823529412,77,372,0.4139784946,0.4297080867,-
ZNF444,YES,17,510,0.1,25,558,0.1344086022,0.4314460268,1
GADL1,NO,64,680,0.3764705882,81,744,0.435483871,0.4326647946,-
FGD1;TSR2,YES,16,170,0.0941176471,12,186,0.064516129,0.4327815326,1
LYZL1,NO,16,170,0.0941176471,12,186,0.064516129,0.4327815326,-
ATG101,YES,9,170,0.0529411765,6,186,0.0322580645,0.4330510473,1
AURKC,YES,9,170,0.0529411765,6,186,0.0322580645,0.4330510473,1
PLET1,NO,9,170,0.0529411765,6,186,0.0322580645,0.4330510473,-
GABARAP,YES,4,170,0.0235294118,2,186,0.0107526882,0.4332586245,1
HDHD2,YES,4,170,0.0235294118,2,186,0.0107526882,0.4332586245,1
SGPP2,YES,4,170,0.0235294118,2,186,0.0107526882,0.4332586245,1
ST3GAL2,YES,4,170,0.0235294118,2,186,0.0107526882,0.4332586245,1
TNRC6B,YES,4,170,0.0235294118,2,186,0.0107526882,0.4332586245,1
TRIM64B,YES,4,170,0.0235294118,2,186,0.0107526882,0.4332586245,1
ZNF763,YES,4,170,0.0235294118,2,186,0.0107526882,0.4332586245,1
ALPI,NO,4,170,0.0235294118,2,186,0.0107526882,0.4332586245,-
B3GNT3,NO,4,170,0.0235294118,2,186,0.0107526882,0.4332586245,-
C16orf90,NO,4,170,0.0235294118,2,186,0.0107526882,0.4332586245,-
CCL1,NO,4,170,0.0235294118,2,186,0.0107526882,0.4332586245,-
DUSP2,NO,4,170,0.0235294118,2,186,0.0107526882,0.4332586245,-
GPC2,NO,4,170,0.0235294118,2,186,0.0107526882,0.4332586245,-
LY6D,NO,4,170,0.0235294118,2,186,0.0107526882,0.4332586245,-
MMP15,YES,4,340,0.0235294118,2,372,0.0107526882,0.433862009,1
PRNP,YES,4,340,0.0235294118,2,372,0.0107526882,0.433862009,1
SRSF1,YES,4,340,0.0235294118,2,372,0.0107526882,0.433862009,1
ABCG1,NO,4,340,0.0235294118,2,372,0.0107526882,0.433862009,-
CABS1,NO,4,340,0.0235294118,2,372,0.0107526882,0.433862009,-
PRDM7,NO,4,340,0.0235294118,2,372,0.0107526882,0.433862009,-
TSPAN13,YES,11,170,0.0647058824,17,186,0.0913978495,0.4357802968,1
CYP2W1,NO,9,338,0.0530112045,6,372,0.0322580645,0.4361369575,-
USP50;USP8,YES,9,340,0.0529411765,6,372,0.0322580645,0.4366862928,1
CCDC134,YES,24,340,0.1411764706,20,372,0.1075268817,0.4379867268,1
FAM170A,NO,79,170,0.4647058824,73,186,0.3924731183,0.4382286522,-
SMIM10,NO,79,170,0.4647058824,73,186,0.3924731183,0.4382286522,-
OR9Q2,NO,46,170,0.2705882353,60,186,0.3225806452,0.4400658907,-
PRDM4,YES,79,170,0.4647058824,74,186,0.3978494624,0.4402672789,1
RNF10,YES,85,680,0.5,105,744,0.564516129,0.4404999003,1
FADS1,YES,56,170,0.3294117647,51,186,0.2741935484,0.4407855699,1
OVOL2,YES,114,170,0.6705882353,108,186,0.5806451613,0.44150149,1
SLC52A2,YES,11,340,0.0647058824,17,372,0.0913978495,0.4427825208,1
NLRP2,YES,69,170,0.4058823529,89,186,0.4784946237,0.4433708651,1
TMEM61,YES,147,340,0.8647058824,144,372,0.7741935484,0.4442722415,1
LEFTY1,YES,11,510,0.0647058824,17,558,0.0913978495,0.4452872446,1
NUBPL,YES,20,170,0.1176470588,28,186,0.1505376344,0.4457012661,1
ROBO4,YES,54,510,0.3176470588,69,558,0.3709677419,0.4462836441,1
ALK,NO,39,170,0.2294117647,35,186,0.188172043,0.4464543182,-
CWF19L2,YES,58,170,0.3411764706,53,186,0.2849462366,0.4470137774,1
DSCAML1,YES,103,170,0.6058823529,130,186,0.6989247312,0.4470334623,1
WDR86,NO,25,340,0.1470588235,21,372,0.1129032258,0.4472744959,-
RPL26L1,YES,17,170,0.1,13,186,0.0698924731,0.4472924119,1
CARTPT,NO,29,340,0.1705882353,39,372,0.2096774194,0.4476408405,-
FAM60A,YES,27,2040,0.1588235294,37,2232,0.1989247312,0.4496527244,1
RBBP4;SYNC,YES,28,680,0.1647058824,38,744,0.2043010753,0.4499930552,1
PPP1R15B,YES,59,170,0.3470588235,54,186,0.2903225806,0.4500237171,1
SNTB2,YES,59,170,0.3470588235,54,186,0.2903225806,0.4500237171,1
DEFB107A;DEFB107B,NO,1,122,0.0081967213,0,150,0,0.4505494505,-
TCAF1,YES,12,170,0.0705882353,18,186,0.0967741935,0.4513044211,1
TMEM52B,YES,12,170,0.0705882353,18,186,0.0967741935,0.4513044211,1
WWC2,YES,27,170,0.1588235294,23,186,0.123655914,0.4515436908,1
XXYLT1,YES,19,510,0.1117647059,27,558,0.1451612903,0.4518954395,1
CXXC4,YES,119,334,0.7084767642,117,370,0.6291491351,0.4519461277,1
PPP1R3B,YES,106,340,0.6235294118,130,372,0.6989247312,0.4530221695,1
AHNAK,YES,2,170,0.0117647059,5,186,0.0268817204,0.4531251869,1
CNTLN,YES,2,170,0.0117647059,5,186,0.0268817204,0.4531251869,1
IPO5,YES,2,170,0.0117647059,5,186,0.0268817204,0.4531251869,1
MCM6,YES,2,170,0.0117647059,5,186,0.0268817204,0.4531251869,1
ZBTB2,YES,2,170,0.0117647059,5,186,0.0268817204,0.4531251869,1
NDST3,NO,2,170,0.0117647059,5,186,0.0268817204,0.4531251869,-
PAGE3,NO,2,170,0.0117647059,5,186,0.0268817204,0.4531251869,-
RNF186,NO,2,170,0.0117647059,5,186,0.0268817204,0.4531251869,-
TBC1D4,NO,2,170,0.0117647059,5,186,0.0268817204,0.4531251869,-
XKR9,NO,2,170,0.0117647059,5,186,0.0268817204,0.4531251869,-
ZZEF1,YES,29,510,0.1705882353,39,558,0.2096774194,0.4535476002,1
CDCP2,NO,25,680,0.1470588235,21,744,0.1129032258,0.4538651385,-
MBP,YES,70,340,0.4117647059,66,372,0.3548387097,0.4543866982,1
SLC22A2,YES,2,340,0.0117647059,5,372,0.0268817204,0.4547469004,1
DEFB129,NO,2,340,0.0117647059,5,372,0.0268817204,0.4547469004,-
ZNF90,YES,2,510,0.0117647059,5,558,0.0268817204,0.4553015345,1
GINS3,YES,6,170,0.0352941176,10,186,0.0537634409,0.4554221456,1
RSRC2,YES,6,170,0.0352941176,10,186,0.0537634409,0.4554221456,1
CLEC11A,YES,142,340,0.8352941176,173,372,0.9301075269,0.4559595082,1
LILRB1,NO,57,510,0.3352941176,72,558,0.3870967742,0.4566609941,-
CTTN,YES,34,170,0.2,46,186,0.247311828,0.4571755682,1
FAM135B,YES,6,340,0.0352941176,10,372,0.0537634409,0.4585223227,1
MDM4,YES,110,340,0.6470588235,135,372,0.7258064516,0.4585958066,1
SMG5,YES,83,340,0.4882352941,103,372,0.5537634409,0.45890127,1
GPR161,YES,16,1190,0.0941176471,13,1302,0.0698924731,0.4591139485,1
HDAC3,YES,10,170,0.0588235294,7,186,0.0376344086,0.4591638554,1
EDDM3B,NO,72,340,0.4235294118,68,372,0.3655913978,0.4596561227,-
ANKRD20A2;ANKRD20A3,NO,89,164,0.5426829268,86,182,0.4725274725,0.4596576711,-
ARRDC4,YES,84,340,0.4941176471,105,372,0.564516129,0.4607792473,1
TACSTD2,YES,17,170,0.1,14,186,0.0752688172,0.4608875494,1
SSU72,YES,45,340,0.2647058824,58,372,0.311827957,0.4612918837,1
COMMD6,YES,22,170,0.1294117647,31,186,0.1666666667,0.4614262008,1
CDC42EP1,YES,10,340,0.0588235294,7,372,0.0376344086,0.4634753942,1
NKX6-3,NO,10,340,0.0588235294,7,372,0.0376344086,0.4634753942,-
KRT77,NO,43,170,0.2529411765,39,186,0.2096774194,0.4641774116,-
SURF6,YES,13,170,0.0764705882,19,186,0.1021505376,0.4656542095,1
SLC30A8,YES,116,510,0.6823529412,113,558,0.6075268817,0.4662605545,1
NDUFB1,YES,64,170,0.3764705882,60,186,0.3225806452,0.4672910498,1
TRMT61A,YES,55,170,0.3235294118,71,186,0.3817204301,0.4675346982,1
IL17A,NO,36,168,0.2142857143,49,186,0.2634408602,0.4676531803,-
CLEC7A,YES,171,340,1.0058823529,169,372,0.9086021505,0.4682972318,1
SLC2A8,YES,61,510,0.3588235294,77,558,0.4139784946,0.4689767983,1
DNAAF1;TAF1C,YES,100,340,0.5882352941,97,372,0.5215053763,0.4692817472,1
ASCC2,YES,101,340,0.5941176471,98,372,0.5268817204,0.4709355037,1
GXYLT1,YES,71,510,0.4176470588,68,558,0.3655913978,0.4716174825,1
BHLHE40,YES,188,510,1.1058823529,188,558,1.0107526882,0.4717495393,1
EDEM3,YES,86,1020,0.5058823529,83,1116,0.4462365591,0.4717968293,1
TMEM218,YES,84,170,0.4941176471,105,186,0.564516129,0.4718447659,1
MYH14,NO,77,340,0.4529411765,73,372,0.3924731183,0.4721865331,-
KLHL11,YES,18,170,0.1058823529,15,186,0.0806451613,0.4724835615,1
CTDSPL,YES,21,680,0.1235294118,29,744,0.1559139785,0.4727555815,1
CNGA2,NO,13,340,0.0764705882,19,372,0.1021505376,0.4730052168,-
