Ensembl.ID,Gene,"Mean(zygote, 4 cell)","Mean(8 cell, morula, ICM, Epi, PrEnd)",LogFC#1,"Mean(zygote, 4 cell, 8 cell)","Mean(morula, ICM, Epi, PrEnd)",LogFC#2
ENSG00000163071,SPATA18,0.06,1.00,4.06,0.06,1.24,4.37
ENSG00000163072,NOSTRIN,3.21,0.51,-2.65,2.26,0.55,-2.03
ENSG00000163075,CFAP221,0.79,0.06,-3.63,0.60,0.03,-4.58
ENSG00000163081,CCDC140,0.10,0.00,-Inf,0.06,0.00,-Inf
ENSG00000163082,SGPP2,0.85,1.90,1.17,0.59,2.36,1.99
ENSG00000163083,INHBB,0.02,0.08,2.45,0.15,0.00,-Inf
ENSG00000163092,XIRP2,0.98,0.01,-6.35,0.66,0.01,-6.47
ENSG00000163093,BBS5,0.65,0.15,-2.10,0.53,0.11,-2.28
ENSG00000163098,BIRC8,0.00,0.00,NA,0.00,0.00,NA
ENSG00000163104,SMARCAD1,2.57,12.87,2.32,2.80,15.28,2.45
ENSG00000163106,HPGDS,0.02,0.02,0.00,0.01,0.03,0.91
ENSG00000163110,PDLIM5,0.91,4.39,2.27,2.96,3.72,0.33
ENSG00000163114,PDHA2,0.25,0.02,-3.48,0.16,0.03,-2.57
ENSG00000163116,STPG2,0.90,0.02,-5.23,0.61,0.03,-4.60
ENSG00000163121,NEURL3,0.00,0.04,Inf,0.00,0.05,Inf
ENSG00000163125,RPRD2,16.17,3.23,-2.32,12.53,2.73,-2.20
ENSG00000163126,ANKRD23,0.06,0.10,0.92,0.05,0.12,1.39
ENSG00000163131,CTSS,0.00,0.53,Inf,0.52,0.27,-0.94
ENSG00000163132,MSX1,5.30,0.71,-2.89,4.20,0.39,-3.44
ENSG00000163138,PACRGL,4.47,3.49,-0.35,3.99,3.61,-0.15
ENSG00000163141,BNIPL,0.29,0.11,-1.43,0.22,0.12,-0.94
ENSG00000163145,C1QTNF7,0.00,0.01,Inf,0.00,0.01,Inf
ENSG00000163154,TNFAIP8L2,0.00,0.15,Inf,0.00,0.19,Inf
ENSG00000163155,LYSMD1,0.93,5.85,2.66,2.19,6.13,1.48
ENSG00000163156,SCNM1,2.84,43.61,3.94,20.07,40.88,1.03
ENSG00000163159,VPS72,37.21,12.55,-1.57,25.18,15.42,-0.71
ENSG00000163161,ERCC3,4.97,11.96,1.27,3.71,14.66,1.98
ENSG00000163162,RNF149,0.80,4.69,2.55,1.40,5.21,1.90
ENSG00000163166,IWS1,356.26,35.51,-3.33,261.08,26.71,-3.29
ENSG00000163170,BOLA3,0.31,20.68,6.06,0.21,25.84,6.94
ENSG00000163171,CDC42EP3,7.47,1.04,-2.85,5.33,1.03,-2.38
ENSG00000163191,S100A11,0.43,626.12,10.51,15.47,771.26,5.64
ENSG00000163202,LCE3D,0.00,0.00,NA,0.00,0.00,NA
ENSG00000163206,SMCP,0.00,0.00,Inf,0.00,0.01,Inf
ENSG00000163207,IVL,0.00,0.00,Inf,0.00,0.00,Inf
ENSG00000163209,SPRR3,0.00,0.00,Inf,0.00,0.01,Inf
ENSG00000163214,DHX57,2.84,1.93,-0.56,2.27,2.13,-0.09
ENSG00000163216,SPRR2D,0.00,0.00,NA,0.00,0.00,NA
ENSG00000163217,BMP10,0.03,0.12,1.98,0.02,0.15,2.88
ENSG00000163218,PGLYRP4,0.00,0.02,Inf,0.00,0.03,Inf
ENSG00000163219,ARHGAP25,0.12,0.04,-1.45,0.09,0.05,-0.79
ENSG00000163220,S100A9,0.13,0.34,1.44,0.10,0.41,1.99
ENSG00000163221,S100A12,0.04,0.01,-2.54,0.02,0.01,-1.64
ENSG00000163235,TGFA,6.39,0.36,-4.16,4.58,0.21,-4.46
ENSG00000163239,TDRD10,0.95,0.09,-3.46,0.66,0.09,-2.91
ENSG00000163249,CCNYL1,37.36,14.50,-1.37,42.41,5.00,-3.08
ENSG00000163251,FZD5,0.20,14.07,6.14,0.23,17.51,6.27
ENSG00000163254,CRYGC,0.11,7.41,6.14,1.64,8.08,2.30
ENSG00000163257,DCAF16,6.22,7.19,0.21,8.80,5.50,-0.68
ENSG00000163263,C1orf189,0.00,0.24,Inf,0.34,0.05,-2.84
ENSG00000163273,NPPC,0.00,1.20,Inf,0.17,1.38,2.99
ENSG00000163281,GNPDA2,38.75,1.55,-4.65,26.60,1.36,-4.29
ENSG00000163283,ALPP,0.05,20.97,8.86,0.28,26.03,6.52
ENSG00000163285,GABRG1,0.00,0.00,Inf,0.00,0.00,Inf
ENSG00000163286,ALPPL2,0.40,342.26,9.74,89.09,361.21,2.02
ENSG00000163288,GABRB1,0.00,0.05,Inf,0.03,0.03,-0.04
ENSG00000163291,PAQR3,0.44,1.20,1.46,0.35,1.45,2.04
ENSG00000163293,NIPAL1,0.17,5.54,5.03,0.27,6.81,4.64
ENSG00000163295,ALPI,0.18,0.05,-1.75,0.12,0.07,-0.84
ENSG00000163297,ANTXR2,0.08,0.28,1.83,0.20,0.25,0.29
ENSG00000163312,HELQ,5.12,6.20,0.28,5.03,6.53,0.38
ENSG00000163319,MRPS18C,0.58,18.77,5.02,1.68,22.50,3.75
ENSG00000163320,CGGBP1,5.65,7.46,0.40,5.67,7.90,0.48
ENSG00000163322,FAM175A,2.77,1.65,-0.75,2.34,1.68,-0.48
ENSG00000163328,GPR155,0.29,3.02,3.41,4.51,0.54,-3.05
ENSG00000163331,DAPL1,0.00,0.04,Inf,0.05,0.01,-3.42
ENSG00000163344,PMVK,0.25,18.14,6.21,0.30,22.58,6.23
ENSG00000163346,PBXIP1,0.29,0.69,1.25,0.38,0.72,0.92
ENSG00000163347,CLDN1,0.00,0.15,Inf,0.00,0.19,Inf
ENSG00000163348,PYGO2,19.41,7.76,-1.32,14.89,8.24,-0.85
ENSG00000163349,HIPK1,6.12,6.21,0.02,6.77,5.74,-0.24
ENSG00000163352,LENEP,0.17,0.02,-3.20,0.11,0.02,-2.29
ENSG00000163354,DCST2,0.01,0.07,3.77,0.00,0.09,4.67
ENSG00000163357,DCST1,0.05,0.01,-1.84,0.03,0.02,-0.93
ENSG00000163359,COL6A3,0.81,0.34,-1.24,1.08,0.02,-5.59
ENSG00000163362,C1orf106,0.03,1.77,5.88,0.02,2.22,6.79
ENSG00000163374,YY1AP1,15.68,16.10,0.04,18.47,14.11,-0.39
ENSG00000163376,KBTBD8,3.61,2.78,-0.37,3.78,2.45,-0.63
ENSG00000163377,FAM19A4,27.38,0.86,-5.00,19.09,0.45,-5.42
ENSG00000163378,EOGT,8.99,2.86,-1.65,7.95,2.11,-1.92
ENSG00000163380,LMOD3,45.44,1.58,-4.85,31.96,0.72,-5.48
ENSG00000163382,NAXE,3.83,23.39,2.61,2.71,29.12,3.43
ENSG00000163389,POGLUT1,0.11,0.89,3.02,0.10,1.10,3.45
ENSG00000163393,SLC22A15,0.14,0.18,0.39,0.15,0.19,0.37
ENSG00000163394,CCKAR,0.00,0.00,NA,0.00,0.00,NA
ENSG00000163395,IGFN1,0.02,0.01,-0.91,0.01,0.01,-0.83
ENSG00000163399,ATP1A1,43.60,38.86,-0.17,32.66,45.88,0.49
ENSG00000163406,SLC15A2,0.04,0.45,3.68,0.04,0.55,3.66
ENSG00000163412,EIF4E3,2.16,0.30,-2.83,1.48,0.35,-2.10
ENSG00000163421,PROK2,0.31,0.17,-0.87,0.24,0.19,-0.40
ENSG00000163424,C3orf30,0.00,0.00,Inf,0.00,0.00,Inf
ENSG00000163428,LRRC58,0.12,3.52,4.94,0.08,4.40,5.78
ENSG00000163430,FSTL1,0.02,0.75,5.23,0.15,0.84,2.52
ENSG00000163431,LMOD1,0.01,0.02,2.14,0.02,0.02,-0.42
ENSG00000163435,ELF3,0.20,13.68,6.10,0.13,17.10,7.00
ENSG00000163440,PDCL2,0.01,16.02,11.65,0.16,19.91,6.93
ENSG00000163444,TMEM183A,2.09,4.85,1.22,2.86,4.96,0.79
ENSG00000163449,TMEM169,5.85,0.08,-6.16,3.91,0.09,-5.40
ENSG00000163453,IGFBP7,0.02,0.24,3.99,0.07,0.26,1.94
ENSG00000163462,TRIM46,0.64,0.68,0.09,0.42,0.85,1.00
ENSG00000163463,KRTCAP2,0.60,4.93,3.05,0.57,6.03,3.40
ENSG00000163464,CXCR1,0.48,0.04,-3.50,0.32,0.05,-2.77
ENSG00000163466,ARPC2,33.08,81.57,1.30,34.87,92.35,1.41
ENSG00000163467,TSACC,0.40,4.93,3.62,0.69,5.84,3.07
ENSG00000163468,CCT3,44.38,187.09,2.08,57.20,213.15,1.90
ENSG00000163472,TMEM79,6.29,3.00,-1.07,5.13,3.05,-0.75
ENSG00000163479,SSR2,9.27,34.11,1.88,11.29,38.80,1.78
ENSG00000163481,RNF25,8.90,16.95,0.93,12.04,16.61,0.46
ENSG00000163482,STK36,3.81,2.66,-0.52,2.62,3.26,0.31
