Gene,Expressed,AC_Patient,AN_Patient,AF_Patient,AC_gnomAD,AN_gnomAD,AF_gnomAD,pVal,FDR
FANCA;ZNF276,YES,138,356,0.3876404494,5993,14974,0.4002270602,0.8011178181,1
FANCI;POLG,YES,141,356,0.3960674157,6224,14954,0.4162097098,0.653970328,1
FBLN2,YES,208,1068,0.5842696629,8787,44638,0.5896243664,0.9087907899,1
FBLN7,YES,260,356,0.7303370787,11140,14892,0.7480526457,0.8047905277,1
FBXL18,YES,7,356,0.0196629213,375,14972,0.0250467539,0.7284174367,1
FBXL20,YES,580,712,1.6292134831,23852,29970,1.5917181628,0.6916227353,1
FBXO2,YES,274,356,0.7696629213,11568,14952,0.7736757624,0.9675916123,1
FBXO27,YES,302,356,0.8483146067,12758,14960,0.8528074866,0.9684439481,1
FBXO34,YES,3,712,0.0084269663,156,30030,0.0103902403,1,1
FBXO38,YES,3,356,0.0084269663,129,15006,0.0085965614,1,1
FBXO46,YES,21,356,0.058988764,808,13556,0.0596046031,1,1
FBXO9,YES,566,1630,1.6971144263,20583,60610,1.6613632206,0.6546355959,1
FDFT1,YES,122,356,0.3426966292,5284,14988,0.3525487056,0.8330277103,1
FGD1;TSR2,YES,28,356,0.0786516854,755,10242,0.0737160711,0.7578694983,1
FGD3,YES,188,356,0.5280898876,7836,14926,0.5249899504,0.9635921366,1
FGF14,YES,3,356,0.0084269663,176,15006,0.0117286419,0.8017620482,1
FGFR3,YES,12,712,0.0337078652,578,29906,0.0386306603,0.7819307964,1
FGGY,YES,288,356,0.808988764,12386,14960,0.8279411765,0.7793881249,1
FHL3,YES,676,712,1.8988764045,28472,29582,1.9249543062,0.806904618,1
FHL5,YES,41,356,0.1151685393,1767,14998,0.1178157088,1,1
FIGNL1,YES,259,356,0.7275280899,10594,14982,0.7071152049,0.7404720627,1
FKBP15,YES,292,356,0.8202247191,12161,14942,0.8138803373,0.9363177882,1
FLNA,YES,4,356,0.0112359551,110,9514,0.0115619088,1,1
FOXE1,YES,257,356,0.7219101124,10841,14978,0.7237948992,1,1
FOXK2,YES,3,356,0.0084269663,130,15000,0.0086666667,1,1
FRAS1,YES,81,356,0.2275280899,3591,14976,0.2397836538,0.7132423712,1
FRAT1,YES,319,356,0.8960674157,13275,14994,0.8853541417,0.8760798571,1
FSTL1,YES,3,356,0.0084269663,149,15014,0.0099240709,1,1
FUOM,YES,1,356,0.0028089888,52,14956,0.0034768655,1,1
FURIN,YES,117,712,0.3286516854,4997,29872,0.3355034768,0.9200786756,1
FUT1,YES,113,356,0.3174157303,4604,14964,0.3076717455,0.7830697206,1
FUT8,YES,216,356,0.606741573,9106,14952,0.6090155163,1,1
FZD6,YES,319,356,0.8960674157,13793,15004,0.9192881898,0.7552965343,1
FZD8,YES,352,356,0.9887640449,14629,14774,0.9901854609,1,1
GABRE,YES,2,356,0.0056179775,39,10168,0.0038355625,0.6496824753,1
GALC,YES,163,356,0.4578651685,7023,14972,0.4690756078,0.8488982858,1
GALNS,YES,94,356,0.2640449438,4045,14964,0.2703154237,0.9072030157,1
GBX2,YES,1,356,0.0028089888,48,14988,0.003202562,1,1
GDF15,YES,331,712,0.9297752809,14071,29934,0.9415545533,0.8931373379,1
GDI1,YES,1,356,0.0028089888,29,10350,0.0028019324,1,1
GFRA2,YES,169,356,0.4747191011,7089,14898,0.4758356826,1,1
GID8,YES,272,712,0.7640449438,11111,30000,0.7413148744,0.6631320887,1
GIGYF2,YES,308,712,0.8651685393,12980,29998,0.8657789108,1,1
GINS3,YES,16,356,0.0449438202,745,14994,0.0496865413,0.8047565603,1
GKAP1,YES,211,356,0.5926966292,8654,14908,0.5804936947,0.8256133707,1
GLG1,YES,121,712,0.3398876404,5300,29986,0.3538451218,0.7312470612,1
GNGT1,YES,232,1060,0.6660209221,10037,44992,0.670252334,0.8269047264,1
GOLPH3,YES,7,712,0.0196629213,347,29994,0.0231374586,0.8583594889,1
GORASP2,YES,12,356,0.0337078652,515,15004,0.0343241802,1,1
GP1BA,YES,1,356,0.0028089888,61,14938,0.0040835453,1,1
GPATCH11,YES,65,712,0.1825842697,2765,30002,0.1843289695,1,1
GPR107,YES,101,1420,0.2845331048,4216,59836,0.2819388864,0.9166577803,1
GPR153,YES,241,356,0.6769662921,10434,14898,0.7003624648,0.7050904094,1
GPR39;LYPD1,YES,170,356,0.4775280899,6911,14960,0.4619652406,0.739822508,1
GPR78,YES,47,712,0.1320224719,2006,29968,0.1339413072,1,1
GPRC5C,YES,318,356,0.893258427,13496,14964,0.9018978883,0.9068691353,1
GPX7,YES,1,356,0.0028089888,66,15002,0.0043994134,1,1
GRHL2,YES,118,356,0.3314606742,5007,14922,0.3355448331,0.9572757847,1
GRIN2A,YES,1,356,0.0028089888,92,15004,0.0061316982,0.7270860026,1
GRIPAP1,YES,3,356,0.0084269663,111,10492,0.0105794891,1,1
GTF2I,YES,28,356,0.0786516854,1274,14712,0.0865959761,0.7027745725,1
GZF1,YES,1,356,0.0028089888,46,15016,0.003063399,1,1
HBA2,YES,353,356,0.9915730337,14873,14968,0.9936531267,1,1
HBE1,YES,2,356,0.0056179775,78,15002,0.0051993068,0.709223402,1
HCAR3,YES,225,1424,0.6320224719,9775,59700,0.6551707783,0.6414092397,1
HDAC8,YES,286,356,0.8033707865,8529,10339,0.8249347132,0.7472314023,1
HDDC2,YES,56,356,0.1573033708,2323,14976,0.1551148504,0.8839989179,1
HDHD2,YES,6,356,0.0168539326,229,15008,0.0152585288,0.8249598278,1
HECW2,YES,261,356,0.7331460674,10709,14974,0.7151729665,0.7725292051,1
HES4,YES,3,356,0.0084269663,165,14918,0.0110604639,1,1
HEY1,YES,251,356,0.7050561798,10761,14980,0.7183578104,0.8352175249,1
HHAT,YES,2,356,0.0056179775,95,15008,0.0063299574,1,1
HHLA2,YES,357,712,1.0028089888,15019,30020,1.0004664179,0.973825523,1
HIST1H4A,YES,38,356,0.106741573,1525,15000,0.1016666667,0.7914532369,1
HIST1H4B,YES,148,712,0.4157303371,6417,29972,0.4287792301,0.7859120551,1
HIST1H4E,YES,5,356,0.0140449438,260,15004,0.0173287123,0.8363714175,1
HIST1H4J,YES,341,712,0.9578651685,14158,29884,0.9498904963,0.8674898484,1
HKDC1,YES,150,712,0.4213483146,6106,29980,0.407609034,0.7131515554,1
HMGA1,YES,356,356,1,13918,13942,0.9982785827,1,1
HNRNPH2;RPL36A-HNRNPH2,YES,1,356,0.0028089888,30,10465,0.0028666985,1,1
HPSE2,YES,168,356,0.4719101124,7352,14940,0.4921017403,0.6725144461,1
HS1BP3,YES,803,1780,2.2556179775,32975,74488,2.2151943586,0.6659689406,1
HS2ST1,YES,273,356,0.7668539326,11394,14948,0.7622424405,0.9675247966,1
HSPBP1,YES,1,356,0.0028089888,96,14986,0.0064059789,0.7295574328,1
HYOU1,YES,696,1382,2.0234380591,28613,55526,2.1007080619,0.6392426718,1
IARS,YES,44,356,0.1235955056,1866,14988,0.1244995997,1,1
ID1,YES,5,356,0.0140449438,231,15004,0.0153958944,1,1
IFRD1,YES,187,352,0.53125,7687,14938,0.5145936538,0.7474505814,1
IFT80,YES,18,356,0.0505617978,718,14958,0.0480010697,0.802075129,1
IGDCC3,YES,216,356,0.606741573,8764,14710,0.5957851801,0.8270492869,1
IGF2,YES,23,356,0.0646067416,1062,14934,0.0711128967,0.7538602901,1
IKBKB,YES,346,356,0.9719101124,14241,14942,0.953085263,0.8187208807,1
IL15,YES,40,356,0.1123595506,1585,14990,0.1057371581,0.72930346,1
IL6R,YES,289,356,0.8117977528,11734,14976,0.7835202991,0.6590276481,1
IMP3,YES,357,712,1.0028089888,15074,30020,1.0042638241,1,1
INPP5A,YES,3,356,0.0084269663,120,14990,0.0080053369,0.7637683752,1
INSC,YES,107,356,0.3005617978,4396,14966,0.2937324602,0.8225478489,1
IPO8,YES,94,356,0.2640449438,3995,14974,0.2667957794,1,1
IQCK,YES,348,356,0.9775280899,14758,15014,0.9829492474,0.9695850496,1
IQGAP3,YES,354,356,0.9943820225,14995,15000,0.9996666667,0.9697148452,1
IRS2,YES,315,356,0.8848314607,12842,14974,0.8576198744,0.6953464336,1
ITGA2,YES,10,712,0.0280898876,389,30016,0.0259171962,0.7370987582,1
ITGA6,YES,54,356,0.1516853933,2344,14830,0.1580579906,0.8273218521,1
ITPRIPL2,YES,2,356,0.0056179775,111,14998,0.0074009868,1,1
IVD,YES,421,712,1.1825842697,18004,29846,1.2060940882,0.7564654238,1
JAKMIP3,YES,34,356,0.095505618,1501,14950,0.1004013378,0.8587811281,1
JMJD6,YES,5,356,0.0140449438,210,15008,0.0139925373,1,1
JMJD8;STUB1,YES,1,356,0.0028089888,88,14990,0.0058705804,0.7257086825,1
KCNK6,YES,2,356,0.0056179775,146,14990,0.0097398266,0.7789153639,1
KCNS3,YES,128,356,0.3595505618,5235,14968,0.3497461251,0.7930741905,1
KCTD18,YES,29,712,0.0814606742,1189,30022,0.0792243604,0.8460155554,1
KDM1B,YES,2,356,0.0056179775,95,15014,0.0063274277,1,1
KDM4C,YES,192,356,0.5393258427,8103,14962,0.5415719824,1,1
KHDRBS3,YES,301,356,0.845505618,12660,14742,0.8587708588,0.87417723,1
KIAA0391,YES,12,356,0.0337078652,533,15006,0.0355191257,1,1
KIAA1549L,YES,5,1068,0.0140449438,219,45026,0.0145914097,1,1
KIF11,YES,1,356,0.0028089888,57,15016,0.003795951,1,1
KIF1A,YES,5,356,0.0140449438,289,14984,0.0192872397,0.6925018366,1
KLF7,YES,260,356,0.7303370787,10452,14612,0.7153024911,0.804146927,1
KLF9,YES,356,356,1,14982,14984,0.9998665243,1,1
KLHDC4,YES,89,712,0.25,3535,29854,0.2374272962,0.6420373398,1
KLHL18,YES,211,356,0.5926966292,8922,14930,0.5975887475,0.9649809463,1
KLK10,YES,2,356,0.0056179775,112,14984,0.0074746396,1,1
KNTC1,YES,15,1068,0.0421348315,616,45000,0.0410628454,0.893661398,1
KPNA3,YES,107,1068,0.3005617978,4695,44966,0.3137927554,0.7239979013,1
KRAS,YES,195,356,0.547752809,8276,14958,0.5532825244,0.9283296444,1
KRIT1,YES,3,356,0.0084269663,144,14970,0.0096192385,1,1
KSR1,YES,79,356,0.2219101124,3321,14958,0.2220216606,1,1
LAMA2,YES,2,356,0.0056179775,68,15006,0.0045315207,0.6782142743,1
LAMB1,YES,218,356,0.6123595506,8822,14938,0.5905743741,0.6940808245,1
LAMC3,YES,82,356,0.2303370787,3377,14916,0.2264011799,0.9008136549,1
LANCL2,YES,340,712,0.9550561798,13989,30018,0.9323410298,0.7126312769,1
LARP1,YES,356,356,1,14928,14928,1,1,1
LASP1,YES,216,356,0.606741573,8941,14946,0.5982202596,0.8956790312,1
LDLR,YES,112,1424,0.3146067416,4642,59958,0.3097918973,0.8807622158,1
LDLRAD3,YES,258,356,0.7247191011,10455,14976,0.6981169872,0.6483237158,1
LGR6,YES,217,356,0.6095505618,9319,14966,0.6226780703,0.8280506951,1
LHFP,YES,10,712,0.0280898876,438,29960,0.029200713,1,1
LHFPL2,YES,1,356,0.0028089888,97,15010,0.0064623584,0.7301926055,1
LHX6,YES,8,356,0.0224719101,336,14992,0.022411953,1,1
LIN52,YES,4,356,0.0112359551,187,14992,0.0124733191,1,1
LIPH,YES,109,356,0.3061797753,4437,14958,0.2966305656,0.7800822263,1
LLGL2,YES,130,356,0.3651685393,5658,14904,0.3796296296,0.7578173662,1
LONRF2,YES,1,356,0.0028089888,88,15014,0.0058611962,0.7256837427,1
LPAR1,YES,89,356,0.25,3989,14962,0.2666087421,0.6378213229,1
LRIG1,YES,2,356,0.0056179775,135,15010,0.008994004,0.7735204395,1
LRP5L,YES,4,356,0.0112359551,165,14954,0.0110338371,0.7994432031,1
LRR1,YES,5,356,0.0140449438,262,15014,0.0174503796,0.8365500402,1
LRRC20,YES,354,356,0.9943820225,14982,14988,0.9995996797,0.9697147294,1
LSM8,YES,241,356,0.6769662921,10367,14940,0.6939089692,0.8005948843,1
LSMEM1,YES,39,356,0.1095505618,1681,14990,0.1121414276,1,1
LSR,YES,1,356,0.0028089888,57,14634,0.003895039,1,1
LTBP1,YES,2,356,0.0056179775,96,15002,0.0063991468,1,1
LYSMD4,YES,356,356,1,14997,15008,0.9992670576,1,1
LZTS1,YES,358,712,1.0056179775,15041,29904,1.0066167625,1,1
MAD2L1BP,YES,107,356,0.3005617978,4547,14946,0.3042285561,0.9556787261,1
MAL,YES,2,356,0.0056179775,144,14930,0.00964501,0.7779999018,1
MAN1A2,YES,177,1424,0.4971910112,7570,59746,0.5069754384,0.8414104264,1
MAN1B1,YES,162,712,0.4550561798,6660,29846,0.4481830417,0.8246799703,1
MAN2B2,YES,355,356,0.9971910112,14963,14974,0.9992653933,1,1
MAP2K5,YES,1,356,0.0028089888,84,14988,0.0056044836,1,1
MAPKAP1,YES,355,356,0.9971910112,14975,14984,0.9993993593,1,1
MAPRE3,YES,214,356,0.6011235955,9148,14940,0.6123159304,0.8613936554,1
MARCH10,YES,666,712,1.8707865169,27790,29978,1.8539625399,0.8700423034,1
MARCH2,YES,352,1068,0.9887640449,14801,44392,0.9954389509,0.8768011241,1
MARCH9,YES,3,356,0.0084269663,167,14986,0.0111437342,1,1
MASTL,YES,234,356,0.6573033708,9679,14978,0.6462144479,0.864541995,1
MATN2,YES,60,356,0.1685393258,2488,14994,0.1659330399,0.8872013333,1
MAZ,YES,356,356,1,14913,14914,0.9999329489,1,1
MBIP,YES,351,712,0.9859550562,14433,29992,0.9624566551,0.7155939759,1
MBOAT2,YES,356,356,1,14958,14958,1,1,1
MDGA2,YES,173,356,0.4859550562,7267,14852,0.4892943711,0.9626706492,1
MED1,YES,64,356,0.1797752809,2880,14968,0.1924104757,0.6869988803,1
MED16,YES,10,356,0.0280898876,404,14986,0.0269584946,0.8679531289,1
MED22,YES,354,356,0.9943820225,14951,14992,0.9972652081,0.9697353152,1
MED31;TXNDC17,YES,42,356,0.1179775281,1678,14998,0.1118815842,0.7359755957,1
MEST,YES,193,356,0.5421348315,8273,14972,0.5525647876,0.8569154848,1
METTL2B,YES,338,712,0.9494382022,14528,29824,0.9762310376,0.7144862777,1
MFAP5,YES,49,356,0.1376404494,1959,14998,0.1306174157,0.6948779784,1
MFF,YES,16,1068,0.0449438202,619,44966,0.0413695477,0.6901952171,1
MFSD1,YES,43,356,0.1207865169,1867,14966,0.124749432,0.9356573989,1
MGA,YES,303,712,0.8511235955,12615,30002,0.8415566413,0.861960989,1
MGLL,YES,242,704,0.6828748547,9646,27244,0.6831405638,0.7080553268,1
MGST2,YES,356,356,1,15015,15016,0.9999334044,1,1
MICALL2,YES,22,356,0.0617977528,1017,14964,0.0679631115,0.7491982456,1
MMACHC,YES,2,356,0.0056179775,109,15004,0.0072647294,1,1
MNAT1,YES,1,356,0.0028089888,60,15004,0.0039989336,1,1
MOB2,YES,224,1424,0.6292134831,9165,59874,0.6129469268,0.7134123098,1
MPZL3,YES,174,356,0.4887640449,7414,14974,0.4951248831,0.9256126309,1
MRPL13,YES,244,1068,0.6853932584,10235,44990,0.6833873141,0.9427073659,1
MRPL17,YES,25,712,0.0702247191,1148,29994,0.0766248835,0.7663906448,1
MRPL50,YES,3,712,0.0084269663,111,29974,0.0074090695,0.7496959348,1
MRPS21,YES,82,356,0.2303370787,3334,14972,0.2226823404,0.8021520649,1
MS4A12,YES,155,356,0.4353932584,6783,14980,0.4528037383,0.7351936011,1
MSRA,YES,365,712,1.0252808989,15455,30004,1.0299375027,0.9740405831,1
MT1H,YES,17,712,0.047752809,796,29696,0.0537081686,0.7246252569,1
MT1M,YES,305,712,0.856741573,13178,29992,0.8792170856,0.7305638205,1
MT2A,YES,4,356,0.0112359551,152,15002,0.0101319824,0.7856702674,1
MTCH1,YES,19,712,0.0533707865,770,29972,0.05138601,0.8108758837,1
MTCL1,YES,27,356,0.0758426966,1118,14996,0.0745532142,0.9188640209,1
MTERF1,YES,22,1068,0.0617977528,994,45004,0.066257869,0.8331495429,1
MTFP1,YES,44,356,0.1235955056,1812,14962,0.1211068039,0.870639779,1
MTR,YES,359,712,1.0084269663,15252,29914,1.0202127232,0.8959749958,1
MTRF1L,YES,356,356,1,14780,14780,1,1,1
MUL1,YES,121,712,0.3398876404,5043,29946,0.3371009149,0.9204971321,1
MVB12B,YES,1,356,0.0028089888,79,14964,0.0052793371,1,1
MYBPHL,YES,320,712,0.8988764045,13892,29960,0.9273245489,0.6600069747,1
MYC,YES,7,712,0.0196629213,335,30018,0.0223209048,1,1
MYH9,YES,3,356,0.0084269663,175,14986,0.0116775657,0.8016393999,1
MYLK2,YES,2,356,0.0056179775,65,14970,0.0043420174,0.6699754322,1
MYO1H,YES,1,356,0.0028089888,80,14998,0.0053340445,1,1
NAA30,YES,340,356,0.9550561798,14479,15002,0.9651379816,0.9084153543,1
NACC1,YES,243,356,0.6825842697,10254,14820,0.691902834,0.8996389332,1
NAGK,YES,4,356,0.0112359551,192,15002,0.0127982936,1,1
NAP1L4,YES,1,356,0.0028089888,75,15002,0.0049993334,1,1
NAXD,YES,95,712,0.2668539326,3993,29984,0.2665893806,0.9559432351,1
NBPF1,YES,158,356,0.4438202247,5600,12670,0.4419889503,0.961344005,1
NCALD,YES,4,712,0.0112359551,181,29860,0.01213553,1,1
NCR1,YES,8,712,0.0224719101,345,29970,0.0230148525,1,1
NDRG4,YES,2,712,0.0056179775,93,29988,0.006202481,1,1
NDUFB1,YES,124,356,0.3483146067,5090,14912,0.3413358369,0.8322516445,1
NDUFS4,YES,167,356,0.4691011236,7204,14952,0.4818084537,0.8133677248,1
NDUFS6,YES,1,356,0.0028089888,59,15006,0.0039317606,1,1
NECAB3,YES,356,356,1,14954,14984,0.9979978644,1,1
NEDD9,YES,287,356,0.8061797753,12373,14976,0.8261885684,0.7791088279,1
NEK1,YES,314,712,0.8820224719,13391,29950,0.8939267498,0.8643172986,1
NEK5,YES,6,356,0.0168539326,302,15004,0.0201279659,0.8479482657,1
NELFB,YES,3,356,0.0084269663,114,14984,0.0076081153,0.7540827603,1
NELL2,YES,74,356,0.2078651685,3120,14994,0.2080832333,1,1
NEO1,YES,172,356,0.4831460674,7588,14952,0.5074906367,0.6412974769,1
NEURL2,YES,222,356,0.6235955056,9364,14978,0.6251836026,1,1
NEUROG1,YES,4,356,0.0112359551,198,15006,0.0131947221,1,1
NIPAL1,YES,2,712,0.0056179775,65,30010,0.0043296124,0.669589748,1
NKD2,YES,365,1780,1.0252808989,15368,74892,1.0276391531,1,1
NLRP12,YES,17,356,0.047752809,826,14982,0.0551328261,0.6382363156,1
NLRP4,YES,301,356,0.845505618,12486,14970,0.8340681363,0.8740634527,1
NLRP9,YES,52,356,0.1460674157,2326,14972,0.1553566658,0.7687700934,1
NMI,YES,21,712,0.058988764,951,30000,0.0634443606,0.8287537311,1
NMRK1,YES,62,712,0.1741573034,2661,29972,0.1776567217,0.9470153529,1
NMT1,YES,155,356,0.4353932584,6234,14948,0.4170457586,0.6586750665,1
NNT,YES,57,712,0.1601123596,2369,30000,0.1579432295,0.888661601,1
NOC2L;SAMD11,YES,333,356,0.9353932584,14163,14994,0.9445778311,0.9079534564,1
NOM1,YES,192,356,0.5393258427,8142,14998,0.542872383,0.9639257458,1
NPEPPS,YES,193,1068,0.5421348315,8310,44874,0.5580201758,0.7836042457,1
NPNT,YES,334,712,0.9382022472,13878,29992,0.9261788623,0.8400987111,1
NPPB,YES,147,700,0.4141951921,5950,27890,0.4040305137,0.8910210492,1
NPRL2,YES,2,356,0.0056179775,92,14916,0.0061678734,1,1
NPTX2,YES,4,356,0.0112359551,201,14984,0.0134143086,1,1
NRBF2,YES,178,356,0.5,7540,14964,0.503875969,0.9630191052,1
NRBP2,YES,422,1068,1.1853932584,17185,44488,1.1564161151,0.7039100022,1
NRIP3,YES,357,712,1.0028089888,15182,30028,1.0110581043,0.9217153374,1
NSFL1C,YES,148,356,0.4157303371,6319,14888,0.4244357872,0.8824857498,1
NT5M,YES,2,356,0.0056179775,58,14968,0.0038749332,0.6515401836,1
NTNG1,YES,28,356,0.0786516854,1092,14996,0.0728194185,0.6812614113,1
NTRK2,YES,5,356,0.0140449438,230,15006,0.0153272025,1,1
NUAK2,YES,56,356,0.1573033708,2325,14972,0.1552898744,0.9417185007,1
NUDT18,YES,310,356,0.8707865169,12923,14858,0.8697671288,1,1
NUP153,YES,1,356,0.0028089888,96,15014,0.0063940322,0.7294358297,1
NXPH4,YES,12,712,0.0337078652,487,29910,0.0325545078,0.880393596,1
NYAP2,YES,204,356,0.5730337079,8312,14962,0.5555407031,0.7213746949,1
OGDHL,YES,154,712,0.4325842697,6732,29836,0.4527678777,0.6575009336,1
OGFOD3,YES,1,356,0.0028089888,54,14998,0.0036004801,1,1
OSBPL10,YES,76,356,0.2134831461,3105,14964,0.2074979952,0.7966628474,1
OVOL2,YES,222,356,0.6235955056,9379,14976,0.6262686966,1,1
OXSM,YES,299,356,0.8398876404,12488,15012,0.8318678391,0.9052559612,1
P4HB,YES,70,712,0.1966292135,2876,29886,0.1928230986,0.847922865,1
PAMR1,YES,356,356,1,15010,15010,1,1,1
PAPSS1,YES,85,356,0.2387640449,3484,14966,0.2327943338,0.8534744414,1
PARD6B,YES,144,1068,0.404494382,5824,45004,0.3887180242,0.6482567327,1
PARP12,YES,9,356,0.0252808989,412,15008,0.0274520256,1,1
PATZ1,YES,2,356,0.0056179775,99,15006,0.0065973611,1,1
PCBP1,YES,4,356,0.0112359551,186,15014,0.0123884375,1,1
PCLAF,YES,5,356,0.0140449438,211,15008,0.0140591684,1,1
PCP4L1,YES,5,356,0.0140449438,289,15006,0.0192589631,0.6923708613,1
PDE4A,YES,2,356,0.0056179775,108,14920,0.0072386059,1,1
PDGFA,YES,341,1424,0.9578651685,14172,58744,0.9658033677,0.9272464141,1
PDIA4,YES,71,712,0.1994382022,2888,29954,0.1927047451,0.7983585889,1
PDK1,YES,12,356,0.0337078652,529,15008,0.0352478678,1,1
PDPN,YES,8,356,0.0224719101,353,15012,0.0235145217,1,1
PEAK1,YES,271,356,0.7612359551,11306,14990,0.7542361574,0.9349547747,1
PEX11G,YES,2,356,0.0056179775,64,14974,0.0042740751,0.6671126456,1
PFKP,YES,678,2848,1.904494382,28081,119924,1.8740922777,0.6957663315,1
PGM1,YES,192,1424,0.5393258427,8175,60002,0.545029082,0.9382281654,1
PHF11;SETDB2-PHF11,YES,195,356,0.547752809,7941,14968,0.5305318012,0.7173611848,1
PHF24,YES,8,356,0.0224719101,290,14994,0.0193410698,0.6949947982,1
PIGL,YES,189,712,0.5308988764,7977,29958,0.5334039739,1,1
PIGO,YES,356,356,1,14998,15000,0.9998666667,1,1
PIGQ,YES,461,1424,1.2949438202,19168,59498,1.2891448367,0.9350958148,1
PIP4K2A,YES,231,356,0.6488764045,9617,14934,0.6439667872,0.9318565704,1
PLA2G4C,YES,245,356,0.6882022472,10242,14962,0.6845341532,0.9664915906,1
PLA2G4F,YES,370,1424,1.0393258427,15191,59740,1.0199593789,0.7214613928,1
PLB1,YES,281,1068,0.7893258427,11593,44786,0.7769950949,0.811452506,1
PLCG2,YES,10,356,0.0280898876,379,15000,0.0252666667,0.7314697419,1
PLEKHH1,YES,356,356,1,15000,15000,1,1,1
PLEKHO2,YES,4,356,0.0112359551,242,14996,0.0161376367,0.6666598311,1
PLOD3,YES,2,712,0.0056179775,96,29940,0.0064128261,1,1
PLXNA4,YES,259,712,0.7275280899,10856,29916,0.7260566612,0.970707261,1
PLXNB2,YES,352,712,0.9887640449,14747,29828,0.9871080777,1,1
PMP22,YES,213,1068,0.5983146067,8675,44974,0.5796039438,0.6452461544,1
PNMA8A,YES,78,356,0.2191011236,3392,14964,0.226677359,0.851065509,1
POGZ,YES,356,356,1,14737,14742,0.999660833,1,1
POLE2,YES,73,356,0.2050561798,3255,14988,0.217173739,0.7019550699,1
POLL,YES,25,356,0.0702247191,1153,14932,0.0772167158,0.7625163582,1
POLN,YES,2,356,0.0056179775,69,14934,0.0046203294,0.6821848045,1
POLR3F,YES,1,356,0.0028089888,83,15000,0.0055333333,1,1
POMC,YES,67,356,0.1882022472,2741,14988,0.182879637,0.8382339213,1
POTEH,YES,173,356,0.4859550562,6469,13090,0.4941940413,0.8883100287,1
PPA2,YES,6,356,0.0168539326,215,14986,0.0143467236,0.6496100169,1
PPFIA1,YES,121,356,0.3398876404,5172,14990,0.34503002,0.9155877936,1
PPFIA2,YES,72,356,0.202247191,3168,14954,0.2118496723,0.7966428417,1
PPP1R14C,YES,45,1068,0.1264044944,1593,40080,0.1320719632,0.6919984511,1
PPP1R3F,YES,3,712,0.0084269663,143,20759,0.0137578964,0.6377358101,1
PPP2R2D,YES,119,712,0.3342696629,5209,29966,0.3476719403,0.7294649787,1
PPP3CA,YES,31,356,0.0870786517,1068,13106,0.0814893942,0.6965132828,1
PPP4R4,YES,1,356,0.0028089888,61,14880,0.0040994624,1,1
PRCC,YES,3,356,0.0084269663,173,15000,0.0115333333,0.801384034,1
PRDM16,YES,14,712,0.0393258427,566,30010,0.0377214972,0.8886931902,1
PRDM4,YES,153,356,0.4297752809,6252,14984,0.4172450614,0.7679185153,1
PRICKLE1,YES,160,712,0.4494382022,6863,29910,0.4591523442,0.8603531416,1
PRNP,YES,6,712,0.0168539326,296,30008,0.0197236716,0.8485018016,1
PROCR,YES,200,356,0.5617977528,8459,14964,0.5652900294,0.9643936103,1
PRPF19,YES,10,356,0.0280898876,460,14970,0.0307281229,1,1
PRRC1,YES,104,356,0.2921348315,4420,14972,0.2952177398,0.9552052288,1
PRSS36,YES,6,356,0.0168539326,207,14980,0.0138184246,0.6422877326,1
PSMD13,YES,8,356,0.0224719101,418,14986,0.0278926999,0.7420211969,1
PSMD2,YES,170,712,0.4775280899,7228,29954,0.4831634382,0.9314162381,1
PSMD7,YES,1,356,0.0028089888,86,15008,0.0057302772,0.7254070304,1
PSMG1,YES,318,356,0.893258427,13113,15008,0.8737340085,0.784599799,1
PTPN18,YES,2,712,0.0056179775,68,29962,0.0045405092,0.6785785601,1
PTPRE,YES,201,1780,0.5646067416,8698,74944,0.5821944574,0.7375721542,1
PTPRU,YES,38,356,0.106741573,1493,14974,0.0997061573,0.6577440864,1
PWP1,YES,5,356,0.0140449438,242,15004,0.0161290323,1,1
PXMP2,YES,242,1424,0.6797752809,10324,59932,0.6899160109,0.8886135167,1
PYCR1,YES,1,356,0.0028089888,51,14984,0.0034036305,1,1
PYY,YES,17,712,0.047752809,812,29914,0.0541992654,0.7250691453,1
QRICH2,YES,23,712,0.0646067416,983,29976,0.0655943947,1,1
RAB17,YES,96,1068,0.2696629213,4243,44838,0.2843630366,0.6728457192,1
RAB26,YES,356,712,1,14849,29972,0.9912540449,0.8953480701,1
RAB28,YES,2,356,0.0056179775,131,14998,0.0087344979,0.7726488896,1
RAB36,YES,703,1780,1.9747191011,29199,74548,1.961443756,0.856674059,1
RAB39A,YES,3,356,0.0084269663,171,15006,0.0113954418,0.8012513355,1
RAB3GAP1,YES,9,356,0.0252808989,386,14968,0.0257883485,1,1
RABGGTA,YES,1,356,0.0028089888,79,15008,0.0052638593,1,1
RAD23B,YES,2,356,0.0056179775,86,14998,0.0057340979,1,1
RALB,YES,253,356,0.7106741573,10292,14974,0.6873246961,0.7072924727,1
RANBP10,YES,4,356,0.0112359551,155,14992,0.0103388474,0.7885177371,1
RAPH1,YES,4,712,0.0112359551,225,30000,0.0150057891,0.8235365882,1
RASA1,YES,4,356,0.0112359551,237,15006,0.0157936825,0.6656146458,1
RBBP4;SYNC,YES,14,712,0.0393258427,546,30024,0.0363789996,0.7757850463,1
RBCK1,YES,1,356,0.0028089888,52,14994,0.0034680539,1,1
